,Taxa
1203,1.0776
1204,1.0864
1205,1.0883
1206,1.0935
1207,1.0976
1208,1.1032
1209,1.1017
1210,1.0930
1211,1.1085
1212,1.1061
1213,1.1011
1214,1.1084
1215,1.1313
1216,1.1354
1217,1.1373
1218,1.1333
1219,1.1360
1220,1.1439
1221,1.1410
1222,1.1374
1223,1.1373
1224,1.1362
1225,1.1254
1226,1.1266
1227,1.1224
1228,1.1236
1229,1.1160
1230,1.1153
1231,1.1203
1232,1.1204
1233,1.1170
1234,1.1151
1235,1.1241
1236,1.1150
1237,1.1155
1238,1.1250
1239,1.1419
1240,1.1312
1241,1.1228
1242,1.1320
1243,1.1305
1244,1.1268
1245,1.1185
1246,1.1139
1247,1.1162
1248,1.1146
1249,1.1138
1250,1.1229
1251,1.1255
1252,1.1236
1253,1.1215
1254,1.1268
1255,1.1284
1256,1.1402
1257,1.1506
1258,1.1497
1259,1.1281
1260,1.1183
1261,1.1041
1262,1.1060
1263,1.1100
1264,1.1171
1265,1.1109
1266,1.1155
1267,1.1055
1268,1.0960
1269,1.0941
1270,1.0885
1271,1.0883
1272,1.0973
1273,1.0951
1274,1.0967
1275,1.0955
1276,1.1030
1277,1.1025
1278,1.1058
1279,1.0939
1280,1.0999
1281,1.0902
1282,1.0867
1283,1.0852
1284,1.0889
1285,1.0867
1286,1.1009
1287,1.1031
1288,1.1049
1289,1.1185
1290,1.1054
1291,1.1024
1292,1.0931
1293,1.1008
1294,1.1096
1295,1.1066
1296,1.1100
1297,1.1189
1298,1.1133
1299,1.1202
1300,1.1206
1301,1.1213
1302,1.1204
1303,1.1345
1304,1.1299
1305,1.1404
1306,1.1279
1307,1.1215
1308,1.1218
1309,1.1220
1310,1.1232
1311,1.1279
1312,1.1249
1313,1.1162
1314,1.1218
1315,1.1317
1316,1.1134
1317,1.1029
1318,1.0944
1319,1.0970
1320,1.0896
1321,1.0863
1322,1.0926
1323,1.0978
1324,1.1164
1325,1.1133
1326,1.1118
1327,1.1180
1328,1.1389
1329,1.1328
1330,1.1419
1331,1.1221
1332,1.1239
1333,1.1142
1334,1.1221
1335,1.1305
1336,1.1230
1337,1.1117
1338,1.1152
1339,1.1215
1340,1.1002
1341,1.0927
1342,1.0822
1343,1.0824
1344,1.0772
1345,1.0743
1346,1.0700
1347,1.0723
1348,1.0814
1349,1.0711
1350,1.0579
1351,1.0564
1352,1.0552
1353,1.0570
1354,1.0774
1355,1.0862
1356,1.0847
1357,1.0830
1358,1.0755
1359,1.0759
1360,1.0845
1361,1.0856
1362,1.0973
1363,1.0985
1364,1.0950
1365,1.0912
1366,1.0776
1367,1.0677
1368,1.0592
1369,1.0635
1370,1.0557
1371,1.0572
1372,1.0613
1373,1.0578
1374,1.0738
1375,1.0860
1376,1.0963
1377,1.1069
1378,1.1124
1379,1.1168
1380,1.1227
1381,1.1240
1382,1.1317
1383,1.1346
1384,1.1328
1385,1.1298
1386,1.1298
1387,1.1387
1388,1.1372
1389,1.1415
1390,1.1408
1391,1.1381
1392,1.1328
1393,1.1314
1394,1.1297
1395,1.1275
1396,1.1447
1397,1.1410
1398,1.1446
1399,1.1376
1400,1.1310
1401,1.1305
1402,1.1315
1403,1.1344
1404,1.1306
1405,1.1244
1406,1.1198
1407,1.1618
1408,1.1593
1409,1.1579
1410,1.1605
1411,1.1588
1412,1.1708
1413,1.1775
1414,1.1782
1415,1.1804
1416,1.1813
1417,1.1768
1418,1.1831
1419,1.1914
1420,1.1915
1421,1.2043
1422,1.2141
1423,1.2160
1424,1.2197
1425,1.2219
1426,1.2213
1427,1.2259
1428,1.2279
1429,1.2285
1430,1.2448
1431,1.2537
1432,1.2426
1433,1.2450
1434,1.2428
1435,1.2392
1436,1.2369
1437,1.2258
1438,1.2362
1439,1.2311
1440,1.2331
1441,1.2424
1442,1.2469
1443,1.2483
1444,1.2480
1445,1.2475
1446,1.2424
1447,1.2410
1448,1.2422
1449,1.2539
1450,1.2535
1451,1.2514
1452,1.2496
1453,1.2436
1454,1.2456
1455,1.2467
1456,1.2424
1457,1.2486
1458,1.2393
1459,1.2517
1460,1.2480
1461,1.2514
1462,1.2493
1463,1.2524
1464,1.2598
1465,1.2737
1466,1.2748
1467,1.2679
1468,1.2659
1469,1.2669
1470,1.2693
1471,1.2762
1472,1.2773
1473,1.2823
1474,1.2749
1475,1.2666
1476,1.2646
1477,1.2679
1478,1.2638
1479,1.2763
1480,1.2645
1481,1.2607
1482,1.2565
1483,1.2616
1484,1.2631
1485,1.2603
1486,1.2583
1487,1.2701
1488,1.2732
1489,1.2712
1490,1.2826
1491,1.2892
1492,1.2845
1493,1.2852
1494,1.2872
1495,1.2956
1496,1.2949
1497,1.2911
1498,1.2931
1499,1.2928
1500,1.2929
1501,1.2902
1502,1.2947
1503,1.2948
1504,1.3015
1505,1.3151
1506,1.3115
1507,1.3133
1508,1.3188
1509,1.3178
1510,1.3177
1511,1.3192
1512,1.3200
1513,1.3267
1514,1.3262
1515,1.3284
1516,1.3354
1517,1.3383
1518,1.3388
1519,1.3373
1520,1.3360
1521,1.3346
1522,1.3386
1523,1.3388
1524,1.3368
1525,1.3345
1526,1.3382
1527,1.3422
1528,1.3395
1529,1.3379
1530,1.3401
